term,inpopular freq,popular freq
thorton harã,1,0
me one,1,0
say you,1,1
got something,1,0
© cine,1,0
avanzar trafico,1,0
sã tira,3,0
born thorton,1,0
la cueva,3,0
sobre blanco,1,0
time you,1,0
aquella iglesia,1,0
biz what,1,0
cticas,1,1
para verte,1,0
veo vacas,1,0
delantal,1,0
hierofante,1,0
donde dan,1,0
azar salpico,1,0
outro for,1,0
interrogante,1,0
la sã,2,0
con motivos,1,0
dan las,2,0
ja y,1,0
cena se,1,0
carã cter,2,1
cter,2,1
carã,2,1
ask,1,0
cine antes,1,0
quedaste,3,0
corto matã,1,0
born,1,0
el hierofante,1,0
ah hace,1,0
the look,1,0
os del,1,1
llevo delantal,1,0
rinocerontes,1,0
something,1,0
cilindro corto,1,0
las prã,1,0
to do,2,0
mis lã,5,1
me costã³,1,0
los bloques,1,0
© para,8,1
bullshit,1,0
blancos veo,1,0
blancos,3,0
handling your,1,0
un corto,1,0
delantal pero,1,0
cã³micos erguidos,1,0
with it,1,0
bullshit you,1,0
fino cosas,1,0
defino,2,1
erguidos,1,0
umm being,1,0
calor en,3,0
barrio â,1,0
one time,1,0
all bullshit,1,0
your biz,1,0
blanco billy,1,0
hay cã³micos,1,0
un cilindro,1,0
with umm,1,0
costã³,2,0
g keith,1,0
ladrã³n,2,0
flush la,1,0
is camaradas,1,0
con imperios,1,0
business,13,0
mafias,1,0
home invasion,1,0
benz clase,1,0
shieet,1,0
lexus todos,1,0
egotrip la,1,0
por ese,2,0
listen up,1,0
bolso,5,0
ajã let,1,0
medios,7,2
a alikes,1,0
hachis,1,0
para arlequines,1,0
listen,1,0
ice,3,0
solo bangers,1,0
hay remedio,2,0
laude solo,1,0
nous,1,0
escupo es,2,0
murray sobre,1,0
elio para,1,0
mind over,1,0
business con,1,0
change les,4,0
gritos y,1,0
home,3,1
y maã,1,2
allah babyshower,1,0
escucharon gritos,1,0
el conocimiento,1,0
secret wars,1,0
vie,2,0
perder flush,1,0
os vais,1,0
cordã³n de,1,0
yo ah,1,0
es robar,1,0
matter,1,0
cordã³n,2,0
otro gremio,1,0
all that,1,0
polinator por,1,0
damn son,1,0
ese fat,1,0
el cordã³n,2,0
beats todo,1,0
fat ass,1,0
tãº de,2,0
gremio,1,2
player better,1,0
top ten,5,2
latinos y,1,0
ojeando,1,0
canciã³n milenaria,1,0
solo pero,1,1
les enseã,4,0
comedores,1,0
ser egotrip,1,0
lado estã,2,0
laude,1,0
cien crudo,1,0
tropiezo,3,0
babyshower ghetto,1,0
imperios,3,0
take it,1,0
is bars,1,0
ya ah,1,0
estoy solo,6,1
bolso comedores,1,0
sometimes,2,0
quedo solo,3,0
ahorcado,2,0
ten me,3,0
a juzgarme,1,0
una barra,1,0
pussy ass,1,0
invasion ice,1,0
imagen,24,3
raw raw,1,0
a mr,1,0
no eran,2,0
cate a,2,0
is delante,1,0
robar a,2,0
barra,7,0
arlequines,1,0
mics,2,0
enseã o,14,2
conocimiento â,1,0
mãªme couz,1,0
latinos,1,0
the dolo,1,0
tengo yo,1,0
vais,4,2
black,7,2
all abusador,1,0
esplendor â,1,0
gasto todo,4,0
ojeando un,1,0
estorbos,1,0
es raw,1,0
matter let,1,0
son quinientos,1,0
digas jamã,1,0
triadas latinos,1,0
mã dan,1,0
milenaria,1,0
p tropiezo,1,0
ghost y,1,0
polinator,1,0
big en,1,0
que escupo,4,1
ass all,1,0
79,1,0
ah â,1,0
su esplendor,1,0
hot dogs,1,0
man por,1,0
that nunca,1,0
remedio dedã,1,0
time s,1,0
tracklist solo,1,0
recito la,1,0
ladrones de,3,0
sometimes i,1,0
ice cream,1,0
vie nous,1,0
comedores de,1,0
step,1,0
hablã is,4,0
que significa,2,1
ass ajã,1,0
mendigos,4,0
la imagen,16,1
s take,1,0
givenchy,1,0
la vie,2,0
it all,1,0
digno sucedor,1,0
di se,1,0
y nature,1,0
muy posible,1,0
bars what,1,0
un ladrã³n,1,0
solo like,1,0
dano nike,1,0
debe ser,8,4
s up,1,0
todo serio,1,0
goddamn solo,4,0
mics on,1,0
gordo player,1,0
dedã,2,0
un secret,1,0
ego tripping,1,0
givenchy flow,1,0
tropiezo con,2,0
ana son,3,0
hot beats,1,0
wars,1,0
me gasto,6,0
cream man,1,0
pero sometimes,1,0
arrugan,1,0
tacchini hablando,1,0
benz,1,0
let a,1,0
your game,1,0
ghetto cum,1,0
to 79,1,0
abusador,1,0
lexus,1,0
robar mr,1,0
dolo,1,0
gangs,1,0
bajaba al,1,0
flamboyante,1,0
est,1,0
keith murray,1,0
want it,1,0
el top,6,2
eran m,1,0
bien mi,7,0
gold chains,4,0
tacchini,1,0
crema en,1,0
vie est,1,0
game up,1,0
de business,1,0
diez veces,4,0
darkman i,1,0
wars mafias,1,0
invasion,1,0
si van,4,0
i smokes,1,0
no change,4,0
parque todo,1,0
barra random,1,0
nike,4,1
corazã³n ya,1,1
better step,1,0
esplendor,1,0
dano me,3,0
allah y,2,0
p,23,2
change,4,0
describo,2,0
es no,9,3
smokes mics,1,0
chains,4,0
que describo,1,0
cien por,3,2
â hot,1,0
y black,1,0
todo sergio,1,0
gratis el,1,0
mr ice,1,0
t ghost,1,0
mãªme,1,0
repeat mode,1,0
estar bien,5,1
max recito,1,0
significa cien,1,0
yo ego,1,0
air acg,1,0
ladrones,4,1
que caiga,1,0
bajaba,1,0
step your,1,0
se escucharon,1,0
sommes,1,0
tripping l,1,0
handsome,1,0
nous sommes,1,0
the darkman,1,0
caiga ahorcado,1,0
it back,1,0
fat,2,0
murray,1,0
rapeo,24,4
mendigos con,1,0
dedã cate,2,0
milenaria y,1,0
egotrip,1,0
let s,2,0
en time,1,0
a brother,1,0
sucedor,1,0
lo di,1,0
brother shine,1,0
estorbos tenã,1,0
de bolso,1,0
escucharon,1,0
flamboyante lo,1,0
est la,1,0
camaradas listen,1,0
what en,1,0
shine,1,0
cream,1,0
up pero,1,0
arlequines hay,1,0
nunca digas,1,0
couz,1,0
en repeat,1,0
como o,1,0
ladrã³n no,1,0
camaradas,2,1
keith,1,0
nature,1,0
nike air,2,0
mis air,2,1
por cien,3,1
sergio,2,0
y rapeo,4,1
bangers pocos,1,0
rapeo handsome,1,0
el elio,1,0
handsome givenchy,1,0
debes ser,1,1
back to,1,0
ice t,2,0
black gangs,1,0
en diecisã,1,0
dolo ni,1,0
cum laude,1,0
ah digno,1,0
ahorcado en,1,0
sergio tacchini,1,0
random,1,0
mis a,1,0
estribillo n,2,0
sucedor de,1,0
ah mi,1,0
babyshower,1,0
dios bajaba,1,0
bitch ass,1,1
muertos yo,1,0
ass bitch,1,0
puto lexus,1,0
chains porque,4,0
tripping,1,0
gremio mendigos,1,0
culo gordo,1,0
toilette,1,0
dogs,1,0
ghost,1,0
bangers,1,0
de hot,1,0
repeat,2,0
a the,1,0
imperios damn,1,0
clase g,1,0
over matter,1,0
macaulay mueve,1,0
shine para,1,0
sã³lo hablã,1,0
alikes,1,0
nombre diez,4,0
79 mind,1,0
hachis polinator,1,0
quinientos,4,0
cate,4,0
ven goddamn,4,0
raw que,1,0
like macaulay,1,0
gangs â,1,0
gold,5,0
dan gratis,1,0
flow lo,2,0
alikes pa,1,0
macaulay,1,0
rapeo como,1,0
sommes le,1,0
describo no,1,0
random rapeo,1,0
toilette ojeando,1,0
darkman,1,0
en gold,4,0
mis muertos,2,0
tracklist,2,0
raw,2,0
pocos medios,1,0
abusador ponlo,1,0
en toilette,1,0
le mãªme,1,0
y dano,5,0
rap benz,1,0
mafias triadas,1,0
dogs estorbos,1,0
cum,1,0
top,11,4
mismo debe,1,0
arrugan si,1,0
imagen que,5,0
smokes,1,0
vais ya,1,0
nature hachis,1,0
acg rap,1,0
todos arrugan,1,0
triadas,1,0
acg,1,0
mueve tu,1,0
medios ah,1,0
plan demonios,2,0
madrugada,24,2
avisar,1,1
aliento a,1,0
en bloque,1,0
de madrugada,21,0
a trabajo,21,0
ergo,3,0
pro demonios,1,0
soportales,1,0
su dignida,1,0
su equipo,2,0
errantes,1,0
cabrones camuflados,1,0
minerva me,1,0
combates el,1,0
atracos,1,0
maricones,2,0
nogales,2,0
mãºsculo,1,0
empty,1,0
equipo,6,4
cabrones,10,1
tres de,2,0
suplicando pa,1,0
muerto acribillados,1,0
rales,4,0
de mãºsculo,1,0
en cristal,2,0
baco no,1,0
dejaron,7,2
hook duermo,3,0
derroche,3,0
trampas pero,1,0
fantoche suplicando,1,0
mi mierda,4,3
equipo y,1,0
hace ese,1,0
entre brothers,1,0
enemigos ponen,1,0
esa pena,1,0
dejaron mi,1,0
viejos clanes,1,0
mã rales,4,0
si combates,1,0
bohemia,1,0
s es,6,1
es castigo,1,0
bohemia que,1,0
pena alguien,1,0
reflejo,11,2
te alumbran,1,0
final demonios,1,0
libertad oculta,1,0
los nogales,1,0
equivocados,3,0
ese coche,2,0
perdiã³ la,3,0
contraes,1,0
bolas como,1,0
humea alguien,1,0
elegido unos,1,0
demonios en,5,0
para llenar,1,0
derroche de,1,0
ã dolos,4,0
dignida y,1,0
dolos han,1,0
un pã,1,0
muhammad,2,0
joints colosales,1,0
girar como,1,0
nogales dicen,1,0
raudo pase,1,0
cabrã³n estã,1,0
tabaco,7,2
reserva,1,1
visual,1,0
formales cuerpos,1,0
el cuchillo,2,0
humea,1,0
estã fumando,1,0
madrugadas,2,1
maricones creen,1,0
ser alguien,5,0
fumando chocolate,1,0
tã³tem,1,0
mira atento,1,0
samurã is,1,0
fumando joints,1,0
pockets son,1,0
reflejo en,2,0
miedo no,3,0
he elegido,2,0
cristal despierto,2,0
alguien ofreciã³,1,0
esa cinta,1,0
vale cuando,1,0
cuando caen,1,1
trabajo soltarã,1,0
caen,20,2
son son,2,0
soportales fumando,1,0
sin plan,2,1
hacerlo girar,1,0
van reflejo,2,0
al fantoche,1,0
vagan,5,0
todos no,2,1
formales,1,0
bãºhos de,1,0
marauders madrugadas,1,0
pockets,1,0
que humea,1,0
pase tres,1,0
intentas,3,1
razã³n perdiã³,1,0
el zaire,1,0
roes equivocados,1,0
bloque bãºhos,1,0
efecto visual,1,0
exteriorizar toda,1,0
lante con,2,0
camuflados,1,0
chocolate porque,1,0
asfalto hace,1,0
ellos siguen,3,0
ana samurã,1,0
visual como,1,0
castigo y,1,0
soltarã ©,1,0
trabajo de,21,1
oculta en,1,0
sin avisar,1,1
madrugada duermo,21,0
no formales,1,0
que hacerlo,5,0
noche dejaron,1,0
estoy moviendo,1,0
ofreciã³ su,1,0
de viejos,2,1
lo contraes,1,0
acribillados quizã,1,0
que raudo,1,0
van te,2,0
pero ellos,1,0
like muhammad,1,0
ergo pro,2,0
avisar como,1,0
pro midnight,1,0
brothers atracos,1,0
vagan errantes,1,0
pantalã³n,3,0
siguiã³ sin,1,0
saben me,1,0
que exteriorizar,1,0
estoy sufriendo,1,0
© todos,1,1
alguien tenã,2,0
fantoche,1,0
cuerpos de,2,0
samurã,1,0
pantalã³n todos,1,0
siento su,1,0
clanes que,1,0
a tabaco,1,0
le toquen,1,0
equivocados el,1,0
y siguiã³,1,0
siguen pa,1,0
cinta intentas,1,0
cuchillo delante,1,0
empty pockets,1,0
ponen trampas,1,0
esperando dentro,1,0
moviendo,1,0
toquen derroche,1,0
tabaco no,1,0
luces de,3,1
tã³tem luces,1,0
elegido,7,0
delante maricones,1,0
caen en,5,0
dignida,1,0
ese efecto,1,0
mãºsculo no,1,0
destino final,2,0
moviendo bolas,1,0
de bohemia,1,0
ser nadie,2,0
dano y,2,0
soltarã,1,0
miro y,3,1
joints,1,0
unos hã,1,0
mis ã,3,0
minerva,1,0
que buscan,2,1
llenar empty,1,0
zaire word,1,0
me protegen,1,0
s destino,3,0
lo saben,6,1
cã³mo van,4,0
dolos,4,0
libre like,1,0
ah para,1,0
vale mã,3,1
cuchillo,5,0
siguiã³,2,0
sufriendo solo,1,0
atento siento,1,0
intentas rebobinar,1,0
mira al,4,1
de minerva,1,0
duermo de,24,0
sin ser,3,0
en reserva,1,0
son cabrones,1,0
noche mã,4,0
pase,13,1
callan y,1,1
y ergo,1,0
apache,2,0
colosales,1,0
cinta,4,0
jaro ah,1,0
un tã³tem,1,0
alumbran por,1,0
combates,2,0
trampas,3,0
protegen como,1,0
ese apache,1,0
en soportales,1,0
atracos para,1,0
madrugadas entre,1,0
ofreciã³,2,0
han muerto,1,0
rales cã³mo,4,0
acribillados,1,0
lo callan,1,0
is vagan,1,0
creen ser,1,0
raudo,1,0
buscan razã³n,1,0
alumbran,1,0
rebobinar toda,1,0
coche mira,1,0
apache ese,1,0
algãºn pantalã³n,1,0
muhammad en,1,0
exteriorizar,1,0
zaire,2,0
contraes niã,1,0
la libertad,10,3
bãºhos,1,0
clanes,2,0
camuflados esperando,1,0
toquen,1,0
reserva como,1,0
errantes enemigos,1,0
stand,5,0
lo hay,1,0
bano never,1,0
he robado,1,0
escuchado,2,0
the fam,1,0
muy difã,2,0
hay caes,1,0
te saco,2,0
hipocampo,1,0
cuando sã³lo,1,0
he escuchado,2,0
caes todo,1,0
despiden,2,0
embustero hablando,1,0
que compartirlo,1,0
manu a,1,0
la guardia,2,1
by si,1,0
no ahora,2,0
loco del,1,0
doy asco,1,0
no muevo,1,0
ntalo bro,1,0
foto te,1,0
aprieto el,1,0
guardia reza,1,0
s rapping,1,0
rain,5,0
guardia,4,2
won,4,0
aferro,2,0
i know,5,1
drop the,1,0
guardo ahã,1,0
won t,4,0
do vendiendo,1,0
me rodean,1,0
naturaleza queda,1,0
robado,3,0
el embustero,1,0
rodean aletean,1,0
sã³lo caes,1,0
cuatro de,2,0
the sun,4,0
away,4,0
harã que,2,0
interno he,1,0
hago yo,3,0
cantante bro,1,0
embustero,2,0
making,1,0
hendrix,1,0
llora a,2,0
me verã,4,0
caes,3,1
n muerto,1,0
the soul,1,0
though the,4,0
fire in,2,0
un don,7,0
resbale la,1,0
cambiar el,4,1
rodean,1,0
se despiden,2,0
thai,1,0
conquistado,1,0
fallin down,4,0
bala y,1,1
don hermano,1,0
este sufrimiento,2,0
fam,1,0
cincuen,1,0
noise cuando,1,0
querubã n,1,0
making some,1,0
va guay,1,0
que venga,7,1
de foto,1,0
infierno soy,1,0
whole,1,0
un cincuen,1,0
mis recuerdos,4,1
© ntalo,2,0
ahora te,3,1
the rain,4,0
recuerdos si,1,0
intento si,1,0
aletean en,1,0
nudo de,1,0
s creã,1,0
telescã³picas veo,1,0
todo va,7,2
â lo,6,3
face nunca,1,0
el elegido,1,0
que resbale,1,0
before in,1,0
asco cobarde,1,0
compartirlo,1,3
creã do,1,0
in your,2,0
hermano tienes,1,0
noise,2,0
leeps,4,0
sufrimiento metal,1,0
x2 and,4,0
hendrix que,1,0
tienes un,6,1
whole life,1,0
down i,4,0
dedo me,1,0
ana el,3,0
el pad,1,0
ãºltimo esfuerzo,1,0
sol saldrã,1,0
de verdugo,2,0
ã bano,3,0
your whole,1,0
como ãºltimo,1,0
miras telescã³picas,1,0
escape necesitas,1,0
otro aãºn,1,0
tu ã,2,0
tãº supieras,2,0
querubã,1,0
cerebro le,1,0
caiga a,1,0
las cuatro,1,0
buscar al,1,0
me aferro,2,0
dentro aprieto,1,0
aferro a,2,0
colores me,1,0
bano y,1,0
jimmy hendrix,1,0
muevo ni,1,0
saco los,1,0
vigilo,2,1
the life,1,0
cobarde por,1,0
air ahora,1,0
bano â,1,0
mi cerebro,5,1
un intento,3,0
metal quemado,1,0
mama llora,1,0
queda un,3,0
de manu,1,0
sun won,4,0
stand by,1,0
puto cantante,1,0
cil verlo,1,0
rimas es,2,0
verlo critico,1,0
como mãºsica,1,0
never seen,1,0
verã ©,5,2
leeps fallin,4,0
and though,4,0
el loco,2,0
resbale,1,0
del vecino,2,0
tus mentiras,3,1
en stand,1,0
hope,1,0
mis cordones,1,0
cordones,2,0
mundo sepa,1,0
he conquistado,1,0
ntalo,2,0
despiden mis,1,0
un gris,1,0
que guardo,2,0
pad,1,0
de escape,3,0
que to,1,0
telescã³picas,1,0
dicen bye,1,0
fui sincero,1,0
life black,1,0
pharcyde,1,0
flash de,1,0
guardo un,2,0
yo canto,2,0
caes de,1,0
beats de,1,0
charola hope,1,0
cordones nike,1,0
eyes making,1,0
rain leeps,4,0
cuervos me,1,1
conquistado exactamente,1,0
aãºn mã,1,0
t wash,4,0
poniendo beats,1,0
el nudo,2,0
gris interno,1,0
saldrã pero,1,0
bye los,1,0
though,4,0
guay todo,1,0
supieras,3,0
seen,2,0
dano x2,4,0
lluvia harã,1,0
la charola,1,0
me guardo,2,0
rapping for,1,0
humo el,1,0
dano cuando,1,0
mentiras â,1,0
bala estalla,1,0
manu,1,0
aletean,1,0
some noise,1,0
wash,4,0
reza querubã,1,0
vendiendo humo,1,0
interno,9,0
wash away,4,0
hipocampo y,1,0
foto,7,2
ntalo una,1,0
jimmy,1,3
estalla,3,0
compartirlo intã,1,0
escuchado cuando,1,0
rapping,2,0
exactamente con,1,0
entrando en,3,0
muerto poniendo,1,0
solas sã,1,0
en drop,1,0
thai ahora,1,0
supieras lo,3,0
sonrisa como,1,0
ahã dentro,1,0
intã,2,0
vecino va,1,0
intã ©,2,0
fallin,4,0
fire,8,0
s recuerdos,1,0
robado miradas,1,0
el hipocampo,1,0
acaso fui,1,0
como miras,1,0
serio intã,1,0
aprieto,1,0
un dedo,2,0
charola,1,0
the pharcyde,1,0
vigilo desde,1,0
mejores que,3,0
verdugo,6,2
verdugo en,1,0
le dirã,5,0
flash,2,1
soul,6,4
bano,3,0
la face,1,0
hoes in,1,0
quemado entrando,1,0
esfuerzo la,1,0
es magia,1,1
por naturaleza,2,0
cincuen pero,1,0
seen before,1,0
te vigilo,1,0
life se,1,0
mi vã,2,0
fam all,1,0
perro me,1,0
estribillo ã,1,0
muera me,1,0
the eyes,1,0
a jimmy,1,0
cuando rimas,1,0
pad thai,1,0
canto esa,1,0
black hoes,1,0
soul fire,1,0
necesitas una,1,0
y caiga,1,0
el otro,5,0
estalla el,1,0
un flash,1,0
pharcyde por,1,0
practicas,1,0
nacen,4,1
nacen dobla,1,0
s hondo,1,0
cido,6,0
malvavisco,1,0
oro todo,1,0
noche como,1,0
eran otros,4,0
una noche,5,2
dorado se,1,0
misma noche,1,0
vidrios le,1,0
anelka en,1,0
freaks tãº,1,0
joven anelka,1,0
los palos,3,2
entonces lo,1,0
hoyo cavando,1,0
codorniz,1,0
valioso,1,0
plumaje,1,0
es niã,1,0
francisco,3,0
o fondo,1,0
doblados,5,0
ya he,5,1
le dieron,1,0
o bitch,1,0
estricto anti,1,0
sistema,22,2
los vidrios,1,0
debajo el,1,0
que mueren,1,0
cae al,2,0
practicas mã,1,0
a bitch,1,0
bitch ahora,1,0
greenpeace,1,1
disco vã,1,0
como rajon,1,0
un mierda,2,0
los raps,2,0
extrarradio paso,2,0
lo lean,1,0
saliã³ ileso,1,0
su plumaje,1,0
tombos si,1,0
okay con,1,0
cobre,2,0
donde vengo,2,0
convivã s,1,0
les escuchan,1,0
chupas de,4,0
se torna,1,0
tombos,1,0
muertas ã,1,0
pasa el,9,1
en sobres,1,0
conocã ladran,1,0
salen de,5,1
visto esa,1,0
queman en,2,0
ir recto,1,0
cido en,1,0
raid,1,0
caso o,1,0
la dejã,2,0
haces por,1,3
palos nacen,1,0
ta to,1,0
vengo los,1,0
ya gajes,1,0
pest,1,0
hondo soy,1,0
tã o,37,5
tã³xico el,1,0
que tendrã,3,1
del oficio,1,0
carro hã,4,0
las haces,1,0
meterla como,1,0
he toca,1,0
los perros,4,5
cofidis,1,0
40k debajo,1,0
ileso y,1,0
sinatra al,1,0
leyendas,2,0
talos,7,0
que convivã,1,0
cuero dentro,4,0
torna,1,0
otros aã,4,0
raps salen,1,0
dobla os,1,0
sistema joven,1,0
fondo pero,1,0
deos,2,0
manifestarse,1,0
noche a,7,0
londres yo,1,0
de malvavisco,1,0
tu musa,2,0
tan tã³xico,1,0
en oro,1,0
acuerdas,5,0
gajes,1,0
nadie ha,1,1
anti sistema,2,0
con chupas,4,0
poblados pã,4,0
sitio tampoco,1,0
cobre con,1,0
tie por,1,0
grimas y,1,0
la he,1,1
s macho,1,0
plumaje dorado,1,0
torna color,1,0
claro las,1,0
leyendas muertas,1,0
tãº viste,1,0
como cofidis,1,0
la codorniz,1,0
vã deos,2,0
© talos,5,0
rajon rondo,1,0
ningãºn estilo,1,0
cogieron los,1,0
jodo con,1,0
valioso intento,1,0
ã cido,4,0
estricto sinatra,1,0
ladran,3,0
arriba eran,4,0
anelka,1,0
como freaks,1,0
okay,4,1
pintan es,1,0
malvavisco se,1,0
asiento pero,1,0
y cae,1,0
calcetines por,4,0
san francisco,1,0
rajon,1,0
dano paso,2,0
gajes del,1,0
cofidis ya,1,0
nombres de,2,0
si pasa,2,0
cavando mã,1,0
con dinero,5,0
directo como,1,0
anti,7,0
de otro,7,0
estribillo israel,2,0
tu pasa,1,0
freaks,1,0
raid pero,1,0
que saliã³,2,0
te acuerdas,5,0
con cobre,1,0
haces peor,1,0
cavando,11,0
persigue,3,0
salir una,2,0
mierda yo,2,1
tie,1,0
extrarradio,5,0
al micro,5,0
juicio estricto,1,0
convivã,2,0
sacar disco,1,0
os cinco,4,0
otro carro,4,0
pest raid,1,0
francisco guarda,1,0
b â,1,0
noche cuando,1,0
talos negros,1,0
los poblados,4,0
saliã³ de,1,0
movida y,2,0
© meterla,1,0
hecho esta,1,0
pues eso,4,0
gente asã,1,0
convertã a,2,0
to como,1,0
nubes de,2,0
si practicas,1,0
mã maldigo,1,0
oficio,13,2
ahora jodo,1,0
gris â,1,0
vidrios,1,0
que tienen,6,1
sin sacar,1,0
ta,2,2
el oro,4,0
dinero directo,1,0
te persigue,2,0
era midas,1,0
chupas,5,0
greenpeace trato,1,0
los tombos,1,0
meterla,1,0
viste el,1,1
oficio nombres,1,0
negro tengo,1,0
dorado,3,1
macho,5,1
esta misma,1,0
pero ta,1,0
visto ah,1,0
palancazos,4,0
dieron un,1,0
tampoco entonces,1,0
palancazos en,4,0
maldigo el,1,1
escuchan en,3,0
mcgrady,1,0
sobres,1,2
bien la,6,0
dano los,1,0
que intervino,1,0
codorniz y,1,0
acuerdas cuando,1,0
deos que,1,0
al tie,1,0
era tan,2,0
el pest,1,0
manifestarse que,1,0
de manifestarse,1,0
ah nubes,1,0
bitch yo,1,0
acabo con,1,0
micro triste,1,0
un hoyo,1,0
le cogieron,1,0
el cristo,1,0
ellos â,2,0
color gris,2,0
roes dando,4,0
poblados,4,0
haga caso,1,0
he pasa,1,0
guarda bien,1,0
por san,1,0
tienen ellos,1,0
muertas,2,1
temor con,1,0
como mcgrady,1,0
asã tambiã,1,0
midas,1,1
toca o,1,1
tengo las,12,1
perros y,1,0
escondas,3,1
triste como,3,0
tienes ningãºn,1,0
el asiento,1,0
hacer salir,1,0
que pintan,1,0
pintan,2,0
tendrã amos,1,1
persigue tu,1,0
primo te,1,0
doblados calcetines,4,0
buscaba el,1,0
el extrarradio,5,0
dando palancazos,4,0
israel b,3,0
asiento,1,0
alguien les,1,0
ladran los,1,0
estricto,2,0
joder tã,1,0
outro seguro,1,0
imagen primo,1,0
musa la,1,0
recto valioso,1,0
intento buscaba,1,0
sobres estricto,1,0
intervino,1,0
cã³mo es,4,0
escondas primo,1,0
eres hijo,1,0
intervino greenpeace,1,0
intro joder,1,0
quiero acabo,1,0
cinco con,4,0
40k,1,0
amos que,2,1
de leyendas,1,0
aquel temor,1,0
to okay,1,0
tengo 40k,1,0
lean,2,0
esconde aquel,1,0
cuando convertã,1,0
b y,2,0
al juicio,1,0
mcgrady negro,1,0
te escondas,3,1
primo de,1,0
cara al,4,0
esa movida,2,0
mueren sin,1,0
talos doblados,4,0
como mc,1,0
macho que,2,0
por arriba,5,0
israel,4,0
suelo la,2,1
rondo soy,1,0
llama bã,1,0
maldades bien,1,0
le calma,1,0
coja,2,1
la llamo,1,0
tumbarte en,1,0
tã³came,1,0
la habana,1,0
pasar que,1,0
me coja,1,0
pensar tu,1,0
estã buena,2,0
bã ilame,4,0
suave bien,1,0
entere,5,0
s ni,2,0
cantar en,1,0
a hacerlo,4,9
reã rse,1,0
puedo controlar,1,0
bien suave,2,0
lleve y,1,0
me cautiva,1,0
baby la,1,0
me rebosa,1,0
encanta tu,1,0
ese movimiento,1,0
siquiera yo,1,0
hacerlo suave,1,0
cielo ya,1,0
arena cantar,1,0
ama la,3,0
lvame de,2,0
vibrar,1,2
lvame,2,1
colma dice,1,0
coja y,1,0
bendita condena,1,0
llama mantiene,1,0
rse,1,0
el final,21,6
sena baby,1,0
voz le,1,0
cuerpo esperando,1,0
entere que,2,0
estribillo dollar,4,0
rse llorar,1,0
mirar esa,1,0
frecuencia vibrar,1,0
calma las,1,0
principio en,1,0
hacemos maldades,1,0
sena,1,0
al pasar,2,3
ilame bã,1,0
rebosa me,1,0
tu mirar,1,0
selmouni vente,2,0
eleve hasta,1,0
miro cuando,1,0
movimiento que,2,0
loco su,1,0
suave que,1,0
same tã³came,1,0
le sobran,1,1
cosas le,2,0
selmouni me,1,0
conmigo vente,16,0
controlar,7,2
alma la,1,2
vibrar reã,1,0
cautiva,1,0
llamo y,1,0
sobran cuando,1,0
me colma,1,0
colma,1,0
ilame,4,0
vente conmigo,33,0
tienen alma,1,0
esa forma,2,3
buena tumbarte,1,0
habana,2,0
dollar,9,0
mantiene la,1,1
puedo mã,4,1
conmigo baby,9,0
rebosa,3,0
sã lvame,2,1
esperando ese,1,0
buena sã,1,0
dollar selmouni,6,0
baby vente,7,0
final en,1,0
tumbarte,1,0
me eleve,1,0
misma frecuencia,1,0
perfume al,1,0
el sena,1,0
tã³came las,1,0
controlar cuando,1,0
selmouni,6,0
habana en,1,0
mã bendita,1,0
cama el,2,0
llorar principio,1,0
se entere,4,0
palmas cuando,1,0
la reina,6,1
espejo que,4,1
navegando por,1,0
mares en,1,0
estribillo tãº,1,0
descalzo para,1,0
tesoro de,1,0
de hojalata,1,0
brisa yo,6,0
el carmã,3,0
sonido eres,1,0
mirada yo,3,0
y despierto,1,0
eres como,7,1
se dibuja,3,0
duermo en,2,2
do eres,1,0
siempre camino,1,0
ana tu,1,0
me llega,3,0
pintor que,1,0
el oã,2,0
lleva navegando,1,0
corazã³n eres,6,0
reflejo tãº,6,0
yo pierdo,3,0
calor surco,1,0
arena embriaga,1,0
el vagabundo,1,0
ãºnica razã³n,1,0
amiga que,3,0
vagabundo,2,1
sentido tãº,1,0
el tesoro,2,1
la pasiã³n,4,3
carmã n,3,0
surco,2,0
de gata,2,0
suave brisa,1,0
que dibuja,3,0
hojalata,2,0
mi barco,3,0
sol yo,6,0
busco el,3,2
sentir por,1,0
dibuja un,6,0
dibuja,7,0
musa yo,1,0
embriaga,1,0
pirata busco,1,0
retrata,1,0
hojalata duermo,1,0
vela que,1,0
embriaga o,1,0
el reflejo,8,0
inspiraciã³n porque,3,0
plata tãº,1,0
me dispara,1,0
barco pirata,1,0
dispara el,1,0
el pintor,2,0
la retrata,1,0
la musa,7,0
siempre tiene,3,0
luna tãº,6,0
musa que,6,1
la nota,3,0
llega hasta,1,0
razã³n por,2,0
camino descalzo,1,0
retrata se,1,0
vagabundo de,2,0
los mares,5,0
viento y,5,1
suspiro eres,1,0
la vela,1,0
carmã,3,0
la plata,4,0
la suave,1,0
pintor,2,0
gata tãº,1,0
surco los,1,0
tu calor,5,0
gata yo,1,0
la amiga,3,0
el suspiro,1,0
consejo se,3,0
despierto entre,1,0
arena y,3,1
siguiente serã,1,0
libres como,1,0
no caben,2,0
de vez,5,0
tienes chavo,2,0
demostrarles,1,0
veracruz ah,1,0
bagaje,1,0
demostrarles los,1,0
de adidas,1,0
crucã,1,0
krueger quince,1,0
© voy,1,4
os freddy,1,0
una pintura,1,0
chavo,2,0
bajo a,1,0
